VECTOR,OCCURRENCE_ID,SOURCE_TYPE,LOCATION_TYPE,POLYGON_ADMIN,Y,X,YEAR,COUNTRY,COUNTRY_ID,GAUL_AD0,STATUS
Aedes_aegypti,884,published,point,-999,30.46,-91.15,1987,United States of America,USA,259,NA
Aedes_aegypti,885,published,point,-999,30.69,-88.05,1987,United States of America,USA,259,NA
Aedes_aegypti,886,published,point,-999,31.49,-97.25,1987,United States of America,USA,259,NA
Aedes_aegypti,887,published,point,-999,31.55,-97.14,1987,United States of America,USA,259,NA
Aedes_aegypti,888,published,point,-999,32.48,-93.77,1987,United States of America,USA,259,NA
Aedes_aegypti,889,published,point,-999,41.88,-87.62,1987,United States of America,USA,259,NA
Aedes_aegypti,934,published,point,-999,27.85,-82.5,1988,United States of America,USA,259,NA
Aedes_aegypti,935,published,point,-999,29.35,-98.44,1988,United States of America,USA,259,NA
Aedes_aegypti,936,published,point,-999,29.38,-98.58,1988,United States of America,USA,259,NA
Aedes_aegypti,937,published,point,-999,29.39,-98.62,1988,United States of America,USA,259,NA
Aedes_aegypti,938,published,point,-999,29.43,-98.5,1988,United States of America,USA,259,NA
Aedes_aegypti,939,published,point,-999,29.47,-98.48,1988,United States of America,USA,259,NA
Aedes_aegypti,940,published,point,-999,29.53,-98.28,1988,United States of America,USA,259,NA
Aedes_aegypti,941,published,point,-999,30,-90.05,1988,United States of America,USA,259,NA
Aedes_aegypti,942,published,point,-999,31.32,-92.53,1988,United States of America,USA,259,NA
Aedes_aegypti,943,published,point,-999,32.38,-86.36,1988,United States of America,USA,259,NA
Aedes_aegypti,944,published,point,-999,32.5,-93.56,1988,United States of America,USA,259,NA
Aedes_aegypti,945,published,point,-999,35.35,-77.96,1988,United States of America,USA,259,NA
Aedes_aegypti,946,published,point,-999,35.42,-97.39,1988,United States of America,USA,259,NA
Aedes_aegypti,982,published,point,-999,27.64,-80.39,1989,United States of America,USA,259,NA
Aedes_aegypti,983,published,point,-999,27.85,-82.5,1989,United States of America,USA,259,NA
Aedes_aegypti,984,published,point,-999,29.38,-98.58,1989,United States of America,USA,259,NA
Aedes_aegypti,985,published,point,-999,29.39,-98.62,1989,United States of America,USA,259,NA
Aedes_aegypti,986,published,point,-999,29.43,-98.5,1989,United States of America,USA,259,NA
Aedes_aegypti,987,published,point,-999,29.47,-98.48,1989,United States of America,USA,259,NA
Aedes_aegypti,988,published,point,-999,29.53,-98.28,1989,United States of America,USA,259,NA
Aedes_aegypti,989,published,point,-999,29.65,-82.33,1989,United States of America,USA,259,NA
Aedes_aegypti,990,published,point,-999,32.77,-97.43,1989,United States of America,USA,259,NA
Aedes_aegypti,991,published,point,-999,33.63,-88.45,1989,United States of America,USA,259,NA
Aedes_aegypti,992,published,point,-999,33.97,-80.48,1989,United States of America,USA,259,NA
Aedes_aegypti,993,published,point,-999,34.91,-92.13,1989,United States of America,USA,259,NA
Aedes_aegypti,994,published,point,-999,35.35,-77.96,1989,United States of America,USA,259,NA
Aedes_aegypti,1063,published,point,-999,27.85,-82.5,1990,United States of America,USA,259,NA
Aedes_aegypti,1064,published,point,-999,29.35,-98.44,1990,United States of America,USA,259,NA
Aedes_aegypti,1065,published,point,-999,29.38,-98.58,1990,United States of America,USA,259,NA
Aedes_aegypti,1066,published,point,-999,29.39,-98.62,1990,United States of America,USA,259,NA
Aedes_aegypti,1067,published,point,-999,29.66,-82.34,1990,United States of America,USA,259,NA
Aedes_aegypti,1068,published,point,-999,29.9,-81.34,1990,United States of America,USA,259,NA
Aedes_aegypti,1126,published,point,-999,27.85,-82.5,1991,United States of America,USA,259,NA
Aedes_aegypti,1127,published,point,-999,28.67,-80.66,1991,United States of America,USA,259,NA
Aedes_aegypti,1128,published,point,-999,29.26,-81.04,1991,United States of America,USA,259,NA
Aedes_aegypti,1129,published,point,-999,29.35,-98.44,1991,United States of America,USA,259,NA
Aedes_aegypti,1130,published,point,-999,29.53,-98.28,1991,United States of America,USA,259,NA
